title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Fang_pengkai.md",37,closed,2019-09-23T23:42:18Z,Pengkai-Fang,2,18,0,2,2019-09-24T00:03:29Z,None
"Create Nguyen_Trong_Doan.md",36,closed,2019-09-23T22:44:13Z,DoanNguyenTrong,1,6,0,1,2019-09-24T04:46:39Z,"create .md file"
"Created Shaner_Justin.md",35,closed,2019-09-11T06:14:56Z,LugwellDR,1,10,0,1,2019-09-23T20:00:00Z,"Part 2 of Assignment 1."
"Create Liu_Qingkun.md",34,closed,2019-09-11T06:02:18Z,lqk67506,1,18,0,1,2019-09-23T19:59:01Z,None
"Create Banister_Kelsey.md Homework 1 part 2",33,closed,2019-09-11T05:45:35Z,kb629,1,12,0,1,2019-09-23T20:19:12Z,None
"Added Islam_Shafkat.md",32,closed,2019-09-10T22:38:40Z,iShafkat,3,9,0,1,2019-09-23T18:46:15Z,None
"Create Deasy_Paul.md",31,closed,2019-09-10T17:56:03Z,pjdeasy,1,13,0,1,2019-09-24T04:47:30Z,"Hwk1 Part 2"
"Add Ivan Gonzalez results",30,closed,2019-09-10T05:03:25Z,gonzalezivan90,7,1597,1,9,2019-09-23T20:00:28Z,"Add MD with the article exercice for part2"
"FANG_PENGKAI.md",29,closed,2019-09-10T03:15:39Z,Pengkai-Fang,3,17,0,1,2019-09-23T23:42:53Z,None
"Fang pengkai",28,closed,2019-09-10T03:11:29Z,Pengkai-Fang,2,18,0,2,2019-09-10T03:12:17Z,None
"Juntong liu.md",27,closed,2019-09-10T03:06:42Z,liujt196,4,181,0,2,2019-09-23T18:42:33Z,None
"Create Fang-Pengkai.md",26,closed,2019-09-10T01:16:32Z,Pengkai-Fang,1,1,0,1,2019-09-10T03:05:13Z,"HW 1 part2:    Title: Racial Orders in American Political Development    Venue:  Cambridge University Press    Number of pages: 27    outcomes:  1. Many studies on racial issues lack a clear theoretical explanation of racial and political relations.    2. The intrinsic motivation of American racial order  the interaction between them  and the relationship with other aspects of American political life are often so important that the question of what role a race might play should always be part of political science.    3. The failure of political scientists to adequately address racial issues in scholarships is largely a part of the failure of Americans to adequately address racial issues in their common lives.    link: [https://www.cambridge.org/core/journals/american-political-science-review/article/racial-orders-in-american-political-development/78C4115EFEB5159EAE76D558D7D86CCB/core-reader](url)      "
"Create ZHENG_LIMING.md",25,closed,2019-09-09T03:50:34Z,LimingZheng-NAU,3,11,0,2,2019-09-24T04:47:50Z,None
"ZHENG_LIMING.md",24,closed,2019-09-09T03:45:11Z,LimingZheng-NAU,1,14,0,1,2019-09-09T03:46:53Z,None
"Create GAO_JIAWEI.md",23,closed,2019-09-09T02:22:23Z,JiaweiGao21,3,17,0,1,2019-09-23T17:32:17Z,None
"Create Natadihardja_Arvin.md",22,closed,2019-09-08T23:22:03Z,arvinnatadihardja,2,4,0,1,2019-09-23T20:17:20Z,"adding Natadihardja_Arvin.md to students folder."
"Create BODINE_CAMERON.md",21,closed,2019-09-08T23:20:01Z,CameronBodine,1,12,0,1,2019-09-23T17:31:03Z,"Please add my super cool file!"
"Create Chen_Junting.md",20,closed,2019-09-08T06:34:16Z,juntingchen-95,1,21,0,1,2019-09-23T17:29:58Z,None
"Create KEANY_JENNA",19,closed,2019-09-08T00:42:23Z,jkeany10,1,5,0,1,2019-09-23T17:29:10Z,None
"Viet-Anh Le created the md file",18,closed,2019-09-07T23:10:26Z,vietanhle0101,1,10,0,1,2019-09-23T17:27:58Z,"This is part 2 in Assignment 1"
"Create ARMOUR_SHAWN.md",17,closed,2019-09-07T01:01:44Z,Shawn-Armour,1,16,0,1,2019-09-23T17:26:38Z,None
"Fixing typo  line spacing",16,closed,2019-09-06T17:50:00Z,Laura-Puckett,1,2,1,1,2019-09-23T17:25:44Z,None
"Create QUINN_COLIN.md",15,closed,2019-09-06T16:36:27Z,CQuinn8,3,10,0,1,2019-09-23T17:24:21Z,"Began task 2 in HW"
"Create Nguyen_Doan",14,closed,2019-09-06T06:10:36Z,DoanNguyenTrong,2,7,0,1,2019-09-24T04:47:18Z,"- pull to my personal repository"
"Update 01_git.md",13,closed,2019-09-05T22:39:41Z,Vinod289,1,1,1,1,2019-09-05T22:55:03Z,None
"fixed line spacing",12,closed,2019-09-05T22:36:28Z,Laura-Puckett,1,3,0,1,2019-09-05T22:55:57Z,None
"Create Escarzaga_Felicity.md",11,closed,2019-09-05T20:33:20Z,FelicityE,1,10,0,1,2019-09-05T22:56:14Z,None
"Created Srivastava_Anuraag.md in Students folder",10,closed,2019-09-05T19:59:53Z,as4378,2,22,0,1,2019-09-05T20:22:28Z,None
"rectify the display of website again",9,closed,2019-09-05T16:52:09Z,YuanGao-NAU,2,1,1,1,2019-09-05T17:20:21Z,None
"Create COFFEY_CHRISTOPHER.md",8,closed,2019-09-05T04:14:43Z,yfoo,1,12,0,1,2019-09-05T17:20:40Z,"enjoy!"
"Fix translate method with default: nil",37895,open,2019-12-05T22:16:14Z,swrobel,1,6,1,2,Null,"### Summary    `I18n.translate('missing.translation'  default: nil)` will return `nil` but the wrapper in ActionView will actually change that default to `[]` which causes `translation missing` to be returned  which changes the expected underlying behavior of I18n. This fixes that scenario.  "
"Switch to the writer DB to generate ASt previews",37893,closed,2019-12-05T15:22:52Z,georgeclaghorn,1,16,1,2,2019-12-05T17:56:43Z,"Fixes that preview generation would fail in apps using Active Record multi-DB support to default GET requests to a read-only replica DB. Preview requests are necessarily GETs and need to use the writer."
"Bring back feature that allows loading external route files:",37892,open,2019-12-05T14:14:03Z,Edouard-chin,1,138,5,10,Null,"Bring back feature that allows loading external route files:      This feature existed back in 2012     https://github.com/rails/rails/commit/5e7d6bba79393de0279917f93b82f3b7b176f4b5    but got reverted with the incentive that there was a better approach.    After discussions  we agreed that it's a useful feature for apps    that have a really large set of routes.      Co-authored-by: Yehuda Katz <wycats@gmail.com>    cc/ @rafaelfranca @etiennebarrie @casperisfine"
"Update docs of String methods using ActiveSupport::Inflector",37890,open,2019-12-05T03:34:52Z,nard-tech,1,38,4,1,Null,"### Summary    * Add references to methods defined in `ActiveSupport::Inflector`  * Add document of aliased method (`#camelcase`)  "
"Add `Rails::Application::Configuration#database_configuration=`",37889,closed,2019-12-05T02:07:24Z,r7kamura,1,59,26,3,2019-12-05T19:46:17Z,"### Summary    I added the following changes:    - Added `Rails::Application::Configuration#database_configuration=`  - Changed `Rails::Application::Configuration#database_configuration`    so that we can set database configuration without config/database.yml or `ENV[\"DATABASE_URL\"]`.    ```ruby  Rails.configuration.database_configuration = {    \"development\" => {      \"adapter\" => \"sqlite3\"       \"database\" => \":memory:\"    }  }  ```    ### Other Information    I needed this API at https://github.com/rails/rails/pull/37888/files#diff-1d52fed1aa29d830cc0d3c9c4fa97c8dR38."
