title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Fix translate method with default: nil",37895,open,2019-12-05T22:16:14Z,swrobel,1,6,1,2,Null,"### Summary    `I18n.translate('missing.translation'  default: nil)` will return `nil` but the wrapper in ActionView will actually change that default to `[]` which causes `translation missing` to be returned  which changes the expected underlying behavior of I18n. This fixes that scenario.  "
"Switch to the writer DB to generate ASt previews",37893,closed,2019-12-05T15:22:52Z,georgeclaghorn,1,16,1,2,2019-12-05T17:56:43Z,"Fixes that preview generation would fail in apps using Active Record multi-DB support to default GET requests to a read-only replica DB. Preview requests are necessarily GETs and need to use the writer."
"Bring back feature that allows loading external route files:",37892,open,2019-12-05T14:14:03Z,Edouard-chin,1,138,5,10,Null,"Bring back feature that allows loading external route files:      This feature existed back in 2012     https://github.com/rails/rails/commit/5e7d6bba79393de0279917f93b82f3b7b176f4b5    but got reverted with the incentive that there was a better approach.    After discussions  we agreed that it's a useful feature for apps    that have a really large set of routes.      Co-authored-by: Yehuda Katz <wycats@gmail.com>    cc/ @rafaelfranca @etiennebarrie @casperisfine"
"Update docs of String methods using ActiveSupport::Inflector",37890,open,2019-12-05T03:34:52Z,nard-tech,1,38,4,1,Null,"### Summary    * Add references to methods defined in `ActiveSupport::Inflector`  * Add document of aliased method (`#camelcase`)  "
"Add `Rails::Application::Configuration#database_configuration=`",37889,closed,2019-12-05T02:07:24Z,r7kamura,1,59,26,3,2019-12-05T19:46:17Z,"### Summary    I added the following changes:    - Added `Rails::Application::Configuration#database_configuration=`  - Changed `Rails::Application::Configuration#database_configuration`    so that we can set database configuration without config/database.yml or `ENV[\"DATABASE_URL\"]`.    ```ruby  Rails.configuration.database_configuration = {    \"development\" => {      \"adapter\" => \"sqlite3\"       \"database\" => \":memory:\"    }  }  ```    ### Other Information    I needed this API at https://github.com/rails/rails/pull/37888/files#diff-1d52fed1aa29d830cc0d3c9c4fa97c8dR38."
"Add bug report templates for Active Storage",37888,closed,2019-12-05T01:02:15Z,r7kamura,1,136,0,3,2019-12-05T02:02:44Z,"### Summary    I added bug report templates for Active Storage. I hope this will make it easier to provide executable test case on Active Storage issues.    ### Other Information    ```  $ ruby guides/bug_report_templates/active_storage_gem.rb  Fetching gem metadata from https://rubygems.org/.............  Fetching gem metadata from https://rubygems.org/.  Resolving dependencies...  Using rake 13.0.1 (was 13.0.0)  Using concurrent-ruby 1.1.5  Using i18n 1.7.0  Using minitest 5.13.0 (was 5.12.2)  Using thread_safe 0.3.6  Using tzinfo 1.2.5  Using zeitwerk 2.2.2  Using activesupport 6.0.0 (was 6.1.0.alpha)  Using builder 3.2.3  Using erubi 1.9.0  Using mini_portile2 2.4.0  Using nokogiri 1.10.7 (was 1.10.4)  Using rails-dom-testing 2.0.3  Using crass 1.0.5 (was 1.0.4)  Using loofah 2.4.0 (was 2.3.0)  Using rails-html-sanitizer 1.3.0  Using actionview 6.0.0 (was 6.1.0.alpha)  Using rack 2.0.7  Using rack-test 1.1.0  Using actionpack 6.0.0 (was 6.1.0.alpha)  Using nio4r 2.5.2  Using websocket-extensions 0.1.4  Using websocket-driver 0.7.1  Using actioncable 6.0.0 (was 6.1.0.alpha)  Using globalid 0.4.2  Using activejob 6.0.0 (was 6.1.0.alpha)  Using activemodel 6.0.0 (was 6.1.0.alpha)  Using activerecord 6.0.0 (was 6.1.0.alpha)  Using mimemagic 0.3.3  Using marcel 0.3.3  Using activestorage 6.0.0 (was 6.1.0.alpha)  Using mini_mime 1.0.2  Using mail 2.7.1  Using actionmailbox 6.0.0 (was 6.1.0.alpha)  Using actionmailer 6.0.0 (was 6.1.0.alpha)  Using actiontext 6.0.0 (was 6.1.0.alpha)  Using bundler 1.17.3  Using method_source 0.9.2  Using thor 0.20.3  Using railties 6.0.0 (was 6.1.0.alpha)  Using sprockets 4.0.0  Using sprockets-rails 3.2.1  Using rails 6.0.0 (was 6.1.0.alpha)  Using sqlite3 1.4.1  -- create_table(:active_storage_blobs  {})  D  [2019-12-05T09:59:44.307492 #71446] DEBUG -- :    (0.8ms)  SELECT sqlite_version(*)  D  [2019-12-05T09:59:44.308370 #71446] DEBUG -- :    (0.3ms)  CREATE TABLE \"active_storage_blobs\" (\"id\" integer PRIMARY KEY AUTOINCREMENT NOT NULL  \"key\" varchar NOT NULL  \"filename\" varchar NOT NULL  \"content_type\" varchar  \"metadata\" text  \"byte_size\" bigint NOT NULL  \"checksum\" varchar NOT NULL  \"created_at\" datetime NOT NULL)  D  [2019-12-05T09:59:44.308909 #71446] DEBUG -- :    (0.1ms)  CREATE UNIQUE INDEX \"index_active_storage_blobs_on_key\" ON \"active_storage_blobs\" (\"key\")     -> 0.0893s  -- create_table(:active_storage_attachments  {})  D  [2019-12-05T09:59:44.309464 #71446] DEBUG -- :    (0.1ms)  CREATE TABLE \"active_storage_attachments\" (\"id\" integer PRIMARY KEY AUTOINCREMENT NOT NULL  \"name\" varchar NOT NULL  \"record_type\" varchar NOT NULL  \"record_id\" integer NOT NULL  \"blob_id\" integer NOT NULL  \"created_at\" datetime NOT NULL  CONSTRAINT \"fk_rails_c3b3935057\"  FOREIGN KEY (\"blob_id\")    REFERENCES \"active_storage_blobs\" (\"id\")  )  D  [2019-12-05T09:59:44.309850 #71446] DEBUG -- :    (0.1ms)  CREATE  INDEX \"index_active_storage_attachments_on_blob_id\" ON \"active_storage_attachments\" (\"blob_id\")  D  [2019-12-05T09:59:44.310553 #71446] DEBUG -- :    (0.2ms)  CREATE UNIQUE INDEX \"index_active_storage_attachments_uniqueness\" ON \"active_storage_attachments\" (\"record_type\"  \"record_id\"  \"name\"  \"blob_id\")     -> 0.0016s  -- create_table(:users  {:force=>true})  D  [2019-12-05T09:59:44.310846 #71446] DEBUG -- :    (0.0ms)  DROP TABLE IF EXISTS \"users\"  D  [2019-12-05T09:59:44.311078 #71446] DEBUG -- :    (0.1ms)  CREATE TABLE \"users\" (\"id\" integer PRIMARY KEY AUTOINCREMENT NOT NULL)     -> 0.0005s  D  [2019-12-05T09:59:44.331185 #71446] DEBUG -- :    (0.1ms)  CREATE TABLE \"ar_internal_metadata\" (\"key\" varchar NOT NULL PRIMARY KEY  \"value\" varchar  \"created_at\" datetime(6) NOT NULL  \"updated_at\" datetime(6) NOT NULL)  D  [2019-12-05T09:59:44.338438 #71446] DEBUG -- :   ActiveRecord::InternalMetadata Load (0.1ms)  SELECT \"ar_internal_metadata\".* FROM \"ar_internal_metadata\" WHERE \"ar_internal_metadata\".\"key\" = ? LIMIT ?  [[\"key\"  \"environment\"]  [\"LIMIT\"  1]]  D  [2019-12-05T09:59:44.342639 #71446] DEBUG -- :    (0.0ms)  begin transaction  D  [2019-12-05T09:59:44.342919 #71446] DEBUG -- :   ActiveRecord::InternalMetadata Create (0.1ms)  INSERT INTO \"ar_internal_metadata\" (\"key\"  \"value\"  \"created_at\"  \"updated_at\") VALUES (?  ?  ?  ?)  [[\"key\"  \"environment\"]  [\"value\"  \"development\"]  [\"created_at\"  \"2019-12-05 00:59:44.342239\"]  [\"updated_at\"  \"2019-12-05 00:59:44.342239\"]]  D  [2019-12-05T09:59:44.343112 #71446] DEBUG -- :    (0.1ms)  commit transaction  Run options: --seed 55600    # Running:    D  [2019-12-05T09:59:44.394111 #71446] DEBUG -- :    (0.0ms)  begin transaction  D  [2019-12-05T09:59:44.394279 #71446] DEBUG -- :   User Create (0.1ms)  INSERT INTO \"users\" DEFAULT VALUES  D  [2019-12-05T09:59:44.412614 #71446] DEBUG -- :   ActiveStorage::Blob Load (0.1ms)  SELECT \"active_storage_blobs\".* FROM \"active_storage_blobs\" INNER JOIN \"active_storage_attachments\" ON \"active_storage_blobs\".\"id\" = \"active_storage_attachments\".\"blob_id\" WHERE \"active_storage_attachments\".\"record_id\" = ? AND \"active_storage_attachments\".\"record_type\" = ? AND \"active_storage_attachments\".\"name\" = ? LIMIT ?  [[\"record_id\"  1]  [\"record_type\"  \"User\"]  [\"name\"  \"profile\"]  [\"LIMIT\"  1]]  D  [2019-12-05T09:59:44.434987 #71446] DEBUG -- :   ActiveStorage::Attachment Load (0.1ms)  SELECT \"active_storage_attachments\".* FROM \"active_storage_attachments\" WHERE \"active_storage_attachments\".\"record_id\" = ? AND \"active_storage_attachments\".\"record_type\" = ? AND \"active_storage_attachments\".\"name\" = ? LIMIT ?  [[\"record_id\"  1]  [\"record_type\"  \"User\"]  [\"name\"  \"profile\"]  [\"LIMIT\"  1]]  D  [2019-12-05T09:59:44.435971 #71446] DEBUG -- :   ActiveStorage::Blob Create (0.1ms)  INSERT INTO \"active_storage_blobs\" (\"key\"  \"filename\"  \"content_type\"  \"metadata\"  \"byte_size\"  \"checksum\"  \"created_at\") VALUES (?  ?  ?  ?  ?  ?  ?)  [[\"key\"  \"hu38pl4sgabhlhhg1jnr1qm8egpo\"]  [\"filename\"  \"dummy.txt\"]  [\"content_type\"  \"text/plain\"]  [\"metadata\"  \"{\\"identified\\":true}\"]  [\"byte_size\"  5]  [\"checksum\"  \"J1h240z2CdsRjz2Et5mnkA==\"]  [\"created_at\"  \"2019-12-05 00:59:44.435415\"]]  D  [2019-12-05T09:59:44.436516 #71446] DEBUG -- :   ActiveStorage::Attachment Create (0.1ms)  INSERT INTO \"active_storage_attachments\" (\"name\"  \"record_type\"  \"record_id\"  \"blob_id\"  \"created_at\") VALUES (?  ?  ?  ?  ?)  [[\"name\"  \"profile\"]  [\"record_type\"  \"User\"]  [\"record_id\"  1]  [\"blob_id\"  1]  [\"created_at\"  \"2019-12-05 00:59:44.436202\"]]  D  [2019-12-05T09:59:44.437185 #71446] DEBUG -- :    (0.0ms)  commit transaction  I  [2019-12-05T09:59:44.439392 #71446]  INFO -- :   Disk Storage (2.0ms) Uploaded file to key: hu38pl4sgabhlhhg1jnr1qm8egpo (checksum: J1h240z2CdsRjz2Et5mnkA==)  I  [2019-12-05T09:59:44.460777 #71446]  INFO -- : Enqueued ActiveStorage::AnalyzeJob (Job ID: 90b56681-d8a7-4022-8ccd-af598a883be5) to Async(default) with arguments: #<GlobalID:0x00007ffb36f2ace0 @uri=#<URI::GID gid://test-app/ActiveStorage::Blob/1>>  I  [2019-12-05T09:59:44.461413 #71446]  INFO -- :   Disk Storage (0.1ms) Downloaded file from key: hu38pl4sgabhlhhg1jnr1qm8egpo  .    Finished in 0.070695s  14.1453 runs/s  14.1453 assertions/s.  1 runs  1 assertions  0 failures  0 errors  0 skips  ```"
"Small doc fixes for ActiveJob::Exceptions::ClassMethods#retry_on",37886,closed,2019-12-04T21:29:01Z,tjschuck,1,2,2,1,2019-12-04T23:12:37Z,"Follow up to https://github.com/rails/rails/pull/31872    Particularly  the closing `</tt>` tag of the documented wait algorithm had a misplaced `<`.  Threw in a space between `15% (0.15)` for good measure."
"Document working with association and checkboxes in a form",37885,open,2019-12-04T20:17:00Z,gwincr11,3,79,0,1,Null,"Motivation:    - I frequently look for this in the docs then struggle to rememeber    the name of the function I need to find in the api docs. Also I think    other people may benefit from it being easier to find.    Changes:    - Added a section about Collection Checkboxes to the docs.    ### Summary    <!-- Provide a general description of the code changes in your pull  request... were there any bugs you had fixed? If so  mention them. If  these bugs have open GitHub issues  be sure to tag them here as well   to keep the conversation linked together. -->    ### Other Information    <!-- If there's anything else that's important and relevant to your pull  request  mention that information here. This could include  benchmarks  or other information.    If you are updating any of the CHANGELOG files or are asked to update the  CHANGELOG files by reviewers  please add the CHANGELOG entry at the top of the file.    Finally  if your pull request affects documentation or any non-code  changes  guidelines for those changes are [available  here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)    Thanks for contributing to Rails! -->  "
"Add `page` generator",37884,open,2019-12-04T17:54:46Z,jonathanhefner,1,66,0,3,Null,"The `page` generator generates one-off pages in an idiomatic way.  Specifically  a one-off page will have a corresponding route and a dedicated controller with `index` action and view.    ---    I often see questions about the best practice for adding an e.g. \"About Us\" page to a Rails app.  Many answers recommend using a single controller with one or more non-REST action.  Some answers even recommend additional gems to manage one-off pages.    The `page` generator establishes and encourages a convention for one-off pages based on DHH's recommendations from a [podcast](http://www.fullstackradio.com/32) ([transcript of relevant portion](http://jeromedalbert.com/how-dhh-organizes-his-rails-controllers/)).  For example  `rails generate page about` will generate the `/about` route  `AboutController` with `index` action  index view  and integration tests.    (As a point of clarity  the `page` generator differs from the `controller` generator in that the `controller` generator generates routes as `/#{controller}/#{action}`  with tests to match.  So `rails generate controller about index` will generate an `/about/index` route and a test that invokes `about_index_url`.)    The `page` generator also provides a `--root` option to generate the root route.  For example  `rails generate page home --root` will additionally draw the `/` route to `HomeController#index`.    TODO:  - [ ] tests  "
"Should keep the original parts for zero duration",37882,closed,2019-12-04T14:04:31Z,kamipo,1,14,4,2,2019-12-04T22:33:20Z,"Follow up to https://github.com/rails/rails/pull/37849#issuecomment-560557239.    Without this  `0.days` is considered as `0.seconds` due to #31310.  We should not lose the original parts."
