login,num_pull_req,has_a_twitter,num_repo,num_followers,num_following,contributions_last_year
Vinod289,1,1,2,0,0,14
jkeany10,1,0,2,0,0,8
Pengkai-Fang,4,0,4,0,0,40
Shawn-Armour,1,0,1,0,0,5
CQuinn8,1,1,11,1,0,36
as4378,1,1,16,1,0,541
FelicityE,1,1,1,0,0,5
pjdeasy,1,0,3,0,1,25
YuanGao-NAU,1,0,15,1,2,41
iShafkat,1,1,6,2,2,122
DoanNguyenTrong,2,0,7,0,0,53
juntingchen-95,1,0,2,0,0,52
LugwellDR,1,0,6,0,0,9
lqk67506,1,0,10,0,0,44
arvinnatadihardja,1,0,2,0,4,9
liujt196,1,1,4,0,0,33
LimingZheng-NAU,2,0,9,0,0,134
vietanhle0101,1,0,9,0,1,18
kb629,1,1,1,0,0,5
gonzalezivan90,1,1,14,0,1,19
CameronBodine,1,1,3,0,1,7
yfoo,1,1,2,1,0,30
Laura-Puckett,2,0,3,0,0,82
JiaweiGao21,1,0,2,0,0,12
gwincr11,1,1,56,21,3,869
giraffate,2,1,28,1,0,201
nkondratyev,1,1,46,10,2,3
joelhawksley,1,1,8,87,0,2834
eileencodes,2,1,117,17000,17,1882
etiennebarrie,1,1,33,42,32,1119
hectorbus,1,1,24,7,4,39
abhaynikam,1,1,22,15,2,1392
javan,1,1,59,618,39,1396
peterzhu2118,3,1,23,26,16,1296
pierredemilly,1,1,10,8,2,36
nard-tech,1,0,15,0,0,17
swrobel,1,1,210,55,10,764
casperisfine,2,0,16,10,0,1405
kamipo,3,1,70,566,0,1306
Edouard-chin,1,0,51,50,27,1763
tgxworld,1,1,155,128,5,626
jonathanhefner,1,1,62,8,10,1577
tjschuck,1,1,53,55,5,8
georgeclaghorn,1,1,22,192,18,2091
tomily1,1,1,63,12,11,597
luoxiaohei,1,1,7,5,15,15
leiaoo,1,1,74,1,22,71
lonlng,1,1,19,0,0,52
bellpk,1,1,2,0,1,6
LucienShui,1,1,58,71,27,2385
linmingwei,1,1,10,1,1,45
fireairforce,1,0,82,57,83,1127
yanyixing,1,1,30,5,34,285
rayyee,1,1,181,104,15000,29
mygesty,1,1,23,0,0,90
huangyoo,1,1,7,4,5,15
Rnben,1,1,37,2,0,138
amit794,1,1,15,1,0,22
admxj,1,1,43,8,8,21
LuckyDevin,1,1,5,0,3,3
banditsmile,1,1,87,11,52,120
ZhuangZhu-74,8,0,0,1,0,74
lutixiaya,1,0,4,0,0,49
chenjiandongx,1,1,77,18000,57,941
yybht155,1,0,1,0,0,3
guaiguaile,1,1,47,2,37,195
xuchunyang,2,1,214,204,19,1458
